Word,Attribute Name,Total Occurences,Document Occurences,,,,,,,,,,,,,,,,,,
abend,abend,258,226,,,,,,,,,,,,,,,,,,
aber,aber,1852,1176,,,,,,,,,,,,,,,,,,
able,able,1944,1822,,,,,,,,,,,,,,,,,,
absolut,absolut,176,162,,,,,,,,,,,,,,,,,,
absolute,absolute,500,482,,,,,,,,,,,,,,,,,,
absolutely,absolutely,3034,2848,,,,,,,,,,,,,,,,,,
accept,accept,232,222,,,,,,,,,,,,,,,,,,
acceptable,acceptable,290,282,,,,,,,,,,,,,,,,,,
access,access,124,114,,,,,,,,,,,,,,,,,,
accessible,accessible,102,100,,,,,,,,,,,,,,,,,,
accident,accident,132,122,,,,,,,,,,,,,,,,,,
accommodate,accommodate,352,348,,,,,,,,,,,,,,,,,,
accommodated,accommodated,102,102,,,,,,,,,,,,,,,,,,
accommodating,accommodating,652,644,,,,,,,,,,,,,,,,,,
accompanied,accompanied,252,244,,,,,,,,,,,,,,,,,,
accompanying,accompanying,124,120,,,,,,,,,,,,,,,,,,
according,according,208,208,,,,,,,,,,,,,,,,,,
account,account,118,114,,,,,,,,,,,,,,,,,,
accurate,accurate,130,128,,,,,,,,,,,,,,,,,,
acknowledge,acknowledge,116,112,,,,,,,,,,,,,,,,,,
acknowledged,acknowledged,128,120,,,,,,,,,,,,,,,,,,
act,act,180,176,,,,,,,,,,,,,,,,,,
acted,acted,154,150,,,,,,,,,,,,,,,,,,
action,action,126,118,,,,,,,,,,,,,,,,,,
actual,actual,546,528,,,,,,,,,,,,,,,,,,
actually,actually,4330,3970,,,,,,,,,,,,,,,,,,
add,add,1958,1848,,,,,,,,,,,,,,,,,,
added,added,1486,1382,,,,,,,,,,,,,,,,,,
addicted,addicted,142,138,,,,,,,,,,,,,,,,,,
addictive,addictive,124,122,,,,,,,,,,,,,,,,,,
adding,adding,372,360,,,,,,,,,,,,,,,,,,
addition,addition,952,906,,,,,,,,,,,,,,,,,,
additional,additional,396,370,,,,,,,,,,,,,,,,,,
address,address_0,160,144,,,,,,,,,,,,,,,,,,
adds,adds,264,258,,,,,,,,,,,,,,,,,,
adequate,adequate,212,208,,,,,,,,,,,,,,,,,,
admit,admit,576,552,,,,,,,,,,,,,,,,,,
adorable,adorable,174,168,,,,,,,,,,,,,,,,,,
adore,adore,108,108,,,,,,,,,,,,,,,,,,
adult,adult,190,184,,,,,,,,,,,,,,,,,,
